ID;Problemas;Teoría;Total
20;NP;--;--
30;NP;--;--
40;NP;--;--
50;0;--;--
60;NP;--;--
70;0;0,45;-
80;1,335;1,075;-
90;0;0;-
100;NP;--;--
110;NP;--;--
120;NP;--;--
130;0;--;--
140;0;0,0187;-
150;0,19;2,0375;-
160;0,085;0,9937;-
170;0;1,4062;-
180;NP;--;--
190;0;--;--
200;0,33;3,3;-
210;0,54;1,3187;-
220;2,715;4,6625;7,3775
230;1,755;3,9437;5,6987
240;0;2,2937;-
250;NP;--;--
260;0,135;0,3125;-
270;0;--;--
280;1,33;4,5937;5,9237
290;0;--;--
300;0,345;3,4937;-
310;0,09;0,8125;-
320;0,375;2,8;-
330;0,91;0;-
340;0,34;0,45;-
350;0;--;--
360;0,94;0,5625;-
370;0,21;0,4437;-
380;0;--;--
390;0;--;--
400;0,4;2,7875;-
410;0,28;3,0062;-
420;NP;--;--
430;1,38;3,6437;5,0237
440;0;0;-
450;0;0,6125;-
460;0;0,5125;-
470;0;--;--
480;NP;--;--
490;0,02;0;-
500;NP;--;--
510;0;--;--
520;NP;--;--
530;0,97;1,3;-
540;0,79;1,175;-
550;0;0;-
560;0;0;-
570;0;--;--
3250;0,05;0;-
580;0;--;--
590;0,02;1,85;-
600;0;1,1312;-
610;0;--;--
620;0;0;-
630;NP;--;--
640;3;4,0125;7,0125
650;0,285;4,0125;-
660;4,09;2,775;6,865
670;NP;--;--
680;0;--;--
690;0;--;--
700;2,53;3,2062;5,7362
710;0;--;--
720;0;--;--
730;0,19;2,475;-
740;NP;--;--
750;0,545;1,9562;-
760;0;1,4;-
770;1,35;4,4187;5,7687
780;0;--;--
790;0;--;--
800;0;0,1812;-
810;0,92;2,525;-
820;0,015;0,3125;-
830;NP;--;--
840;0;--;--
850;1,445;1,2187;-
860;0;--;--
870;1,265;1,1562;-
880;0,32;3,7625;-
890;0;2,425;-
900;1,255;4,6812;5,9362
910;0,045;0,1375;-
920;0;--;--
930;1,605;2,9937;4,5987
940;0;--;--
950;NP;--;--
960;0,425;3,7682;-
970;0,905;4,9125;-
980;0,12;0,9187;-
990;NP;--;--
1000;NP;--;--
1010;0;--;--
1020;0;--;--
1030;NP;--;--
1040;0,32;4,0875;-
1050;0;0;-
1060;0;0,35;-
1070;NP;--;--
1080;0,17;1,4875;-
1090;0,26;2,1375;-
1100;NP;--;--
1110;0;--;--
1120;0,42;2,312;-
1130;NP;--;--
1140;0,005;2,7625;-
1150;0,17;2,4375;-
1160;0;0;-
1170;0,905;2,7687;-
1180;0;--;--
1190;1,56;2,1937;3,7537
1200;0,185;3,8687;-
1210;1,57;2,5625;4,1325
1220;0,32;2,95;-
1230;0,095;2,1375;-
1240;0,37;3,9187;-
1250;0,295;1,3125;-
1260;0;--;--
1270;NP;--;--
1280;NP;--;--
1290;0;0,3437;-
1300;NP;--;--
1310;0,12;3,7629;-
1320;NP;--;--
1330;NP;--;--
1340;0;4,2437;-
1350;NP;--;--
1360;NP;--;--
1370;0,265;0,7375;-
1380;1,105;2,05;-
1390;0,63;0,9;-
1400;NP;--;--
1410;0,265;4,15;-
1420;0,1;0;-
1430;0,565;0,4312;-
1440;NP;--;--
1450;1,775;2,7;4,475
1460;NP;--;--
1470;0;0;-
1480;0,8;4;-
1490;0,38;1,5;-
1500;0,535;0,8812;-
1510;NP;--;--
1520;0,03;2,3562;-
1530;NP;--;--
1540;0;--;--
1550;0,915;3,775;-
1560;NP;--;--
1570;1,255;3,7875;5,0425
1580;0,575;0,3625;-
1590;NP;--;--
1600;NP;--;--
1610;0;0;-
1620;0;0,025;-
1630;0,11;0,9625;-
1640;0;--;--
1650;1,37;2,7187;4,0887
1660;0,075;1,3437;-
1670;0;0;-
1680;1,11;3,4625;-
1690;0;0,0375;-
1700;1,27;0,5875;-
1710;0,005;2,6187;-
1720;0,465;0,2687;-
1730;0;--;--
1740;0,665;2,2687;-
1750;1,96;3,8307;5,7907
1760;0,08;3,1;-
1770;2,99;1,825;4,815
1780;NP;--;--
1790;NP;--;--
1800;0,165;0,5312;-
1810;0,09;0,125;-
1820;0,025;0,725;-
1830;NP;--;--
1840;0;--;--
1850;0,015;0,025;-
1860;NP;--;--
1870;3,635;0,7125;-
1880;NP;--;--
1890;2,27;4,7687;7,0387
1900;0;--;--
1910;0,12;0,1125;-
1920;NP;--;--
1930;1,91;1,875;3,785
1940;1,585;0,8125;-
1950;0;--;--
1960;2,21;2,2187;4,4287
1970;NP;--;--
1980;1,28;2,3312;3,6112
1990;0,105;0,0375;-
2000;NP;--;--
2010;0;--;--
2020;0,87;4,45;-
2030;0,58;4,5562;-
2040;0,09;--;--
